r (Å)    g(r) for Cu-O     g(r)_smooth
0.0250000000 0.0000000000 0.0000000000
0.0750000000 0.0000000000 0.0000000000
0.1250000000 0.0000000000 0.0000000000
0.1750000000 0.0000000000 0.0000000000
0.2250000000 0.0000000000 0.0000000000
0.2750000000 0.0000000000 0.0000000000
0.3250000000 0.0000000000 0.0000000000
0.3750000000 0.0000000000 0.0000000000
0.4250000000 0.0000000000 0.0000000000
0.4750000000 0.0000000000 0.0000000000
0.5250000000 0.0000000000 0.0000000000
0.5750000000 0.0000000000 0.0000000000
0.6250000000 0.0000000000 0.0000000000
0.6750000000 0.0000000000 0.0000000000
0.7250000000 0.0000000000 0.0000000000
0.7750000000 0.0000000000 0.0000000000
0.8250000000 0.0000000000 0.0000000000
0.8750000000 0.0000000000 0.0000000000
0.9250000000 0.0000000000 0.0000000000
0.9750000000 0.0000000000 0.0000000000
1.0250000000 0.0000000000 0.0000000000
1.0750000000 0.0000000000 0.0000000000
1.1250000000 0.0000000000 0.0000000000
1.1750000000 0.0000000000 0.0000000000
1.2250000000 0.0000000000 0.0000000000
1.2750000000 0.0000000000 0.0000000000
1.3250000000 0.0000000000 0.0000000000
1.3750000000 0.0000000000 0.0000000000
1.4250000000 0.0000000000 0.0000000000
1.4750000000 0.0000000000 0.0000000094
1.5250000000 0.0000000000 0.0000004653
1.5750000000 0.0000000000 0.0000100863
1.6250000000 0.0000000000 0.0001225964
1.6750000000 0.0000700705 0.0009301780
1.7250000000 0.0011566703 0.0045795408
1.7750000000 0.0087943357 0.0149621354
1.8250000000 0.0315033206 0.0336896813
1.8750000000 0.0590908829 0.0561687755
1.9250000000 0.0775543451 0.0764931964
1.9750000000 0.0973666370 0.0906724169
2.0250000000 0.1033418121 0.0923143774
2.0750000000 0.0831636216 0.0780160213
2.1250000000 0.0523362715 0.0545489349
2.1750000000 0.0276826627 0.0327219021
2.2250000000 0.0145212304 0.0183722186
2.2750000000 0.0094115513 0.0109689675
2.3250000000 0.0068870325 0.0074133592
2.3750000000 0.0051606628 0.0054373544
2.4250000000 0.0039134195 0.0041895035
2.4750000000 0.0032382055 0.0034717014
2.5250000000 0.0030943986 0.0031654815
2.5750000000 0.0029236193 0.0031752597
2.6250000000 0.0034683446 0.0034648095
2.6750000000 0.0038548106 0.0039272752
2.7250000000 0.0043255420 0.0046256222
2.7750000000 0.0055285319 0.0057476773
2.8250000000 0.0071874926 0.0073125499
2.8750000000 0.0088412378 0.0094166860
2.9250000000 0.0119517612 0.0124255025
2.9750000000 0.0155044133 0.0169393000
3.0250000000 0.0222763660 0.0237851598
3.0750000000 0.0326885596 0.0327582847
3.1250000000 0.0428480440 0.0422298165
3.1750000000 0.0519693421 0.0505261283
3.2250000000 0.0572100833 0.0570183373
3.2750000000 0.0632635356 0.0617525320
3.3250000000 0.0659277946 0.0638404657
3.3750000000 0.0638382639 0.0625916813
3.4250000000 0.0596067964 0.0586196474
3.4750000000 0.0529302001 0.0532309964
3.5250000000 0.0469757451 0.0482103818
3.5750000000 0.0441847777 0.0447380569
3.6250000000 0.0420628462 0.0427901431
3.6750000000 0.0415088122 0.0421620329
3.7250000000 0.0425765694 0.0424670519
3.7750000000 0.0430164321 0.0431090356
3.8250000000 0.0434404117 0.0441559185
3.8750000000 0.0459866270 0.0458239172
3.9250000000 0.0476776855 0.0476881442
3.9750000000 0.0496847382 0.0495712884
4.0250000000 0.0503297373 0.0525752969
4.0750000000 0.0562749284 0.0587744871
4.1250000000 0.0687786726 0.0674027541
4.1750000000 0.0790231110 0.0729578878
4.2250000000 0.0740757855 0.0708076634
4.2750000000 0.0620707166 0.0632744811
4.3250000000 0.0540222388 0.0560653283
4.3750000000 0.0500361402 0.0523932595
4.4250000000 0.0514373138 0.0524464599
4.4750000000 0.0548716543 0.0543608864
4.5250000000 0.0571555366 0.0556344251
4.5750000000 0.0556109992 0.0549303406
4.6250000000 0.0531464120 0.0525690277
4.6750000000 0.0489986803 0.0496135522
4.7250000000 0.0464610555 0.0475415235
4.7750000000 0.0457954717 0.0477921723
4.8250000000 0.0497272031 0.0511355600
4.8750000000 0.0568112780 0.0564762953
4.9250000000 0.0639557801 0.0605043917
4.9750000000 0.0622716095 0.0603170494
5.0250000000 0.0563166267 0.0569808312
5.0750000000 0.0527057546 0.0536381281
5.1250000000 0.0508469318 0.0519735010
5.1750000000 0.0515706469 0.0521665547
5.2250000000 0.0532399925 0.0537636784
5.2750000000 0.0561904335 0.0561893543
5.3250000000 0.0589248832 0.0589144010
5.3750000000 0.0614368915 0.0618851222
5.4250000000 0.0651666776 0.0654514407
5.4750000000 0.0690151486 0.0699129838
5.5250000000 0.0755859116 0.0749334741
5.5750000000 0.0809260354 0.0786523231
5.6250000000 0.0803676547 0.0796084308
5.6750000000 0.0788559422 0.0785849154
5.7250000000 0.0767848933 0.0768670144
5.7750000000 0.0750284286 0.0750785996
5.8250000000 0.0734489178 0.0733735622
5.8750000000 0.0711913706 0.0721029842
5.9250000000 0.0713574888 0.0719159203
5.9750000000 0.0726797746 0.0727406625
6.0250000000 0.0737101742 0.0741621683
6.0750000000 0.0760456414 0.0759220607
6.1250000000 0.0785044878 0.0769702826
6.1750000000 0.0772551705 0.0759546633
6.2250000000 0.0727075658 0.0733181595
6.2750000000 0.0701349036 0.0710171811
6.3250000000 0.0692464657 0.0703343917
6.3750000000 0.0707995424 0.0714580748
6.4250000000 0.0736671857 0.0738816365
6.4750000000 0.0767779730 0.0769746944
6.5250000000 0.0803781388 0.0803148617
6.5750000000 0.0840714546 0.0832457509
