# Frame_number Cu-O-H_angle(degrees) (10 decimal places)
    0       110.4720286149
    0        91.5753428367
    0        94.9403243475
    0       102.8514039891
    0       133.9185580289
    0       105.1450553834
    0       124.7432807592
    1        98.5518043169
    1        82.6996727017
    1       158.9136018820
    1        88.4542921239
    1       101.1990170473
    1       123.4518976091
    1       112.3460255525
    1       123.3721676775
    1       115.3335005412
    1        88.8122866012
    1        84.8053077038
    1       106.7730516509
    2        73.6935770804
    2       119.8269341441
    2        98.8556038584
    2        98.3057643146
    2       118.7811785588
    2        74.3872701516
    2        94.9686782439
    3        89.3110969829
    3        93.6696283716
    3        94.1452340315
    3       115.3275697379
    3       110.0961203407
    3       122.7297031045
    3       121.9228582156
    3       107.4217526495
    4        97.2908081863
    4        92.0099168447
    4       112.2631004028
    4       121.1041307815
    4       117.6903645059
    4       110.0493177537
    4       107.3926069601
    4       109.2413027303
    4       112.5028650662
    4       109.5896387123
    5       102.7804732410
    5        91.7459998325
    5       109.9778680382
    5       141.9707349423
    5       118.2267353314
    5       120.1172022224
    6       109.7368313467
    6        84.6380409657
    6       111.9051881619
    6       129.7214991156
    6       122.2029981599
    6        89.7449076184
    6       105.1863723947
    6        96.4403338468
    6       116.4972686931
    6       108.3415978675
    6       127.1328168162
    7       114.8862766653
    7       107.1417393885
    7        89.9759970713
    7       160.0848298510
    7        97.0325435925
    7       135.5067636602
    7       118.9493432896
    7       119.5451358790
    7       120.7422780972
    7       108.3131256595
    7       110.0389785668
    8       127.2755943928
    8       133.4964599461
    8       117.6942449482
    8        97.9887242048
    8        98.8701738696
    8        98.2511154255
    8       127.5642250787
    8       112.9369785363
    8       125.7535231715
    9       114.8267744354
    9       135.8556831413
    9       117.3746082908
    9        93.8013150662
    9        85.2431637303
    9       152.9238657326
    9        96.0012763139
    9        98.8253839619
    9       149.0743989442
    9       107.3794465661
    9       108.5327293645
   10       115.5449354509
   10       114.7351108450
   10        95.1529135281
   10        94.3139931420
   10        93.5221462976
   10       159.9576170012
   10       107.0190039065
