Frame Cu-O Cu-H Cu-Cu
427.0000000000 2.0464946364 2.6759185714 2.5836959704
428.0000000000 2.0442820240 2.6963520436 2.5929120562
429.0000000000 2.0245414785 2.7215174890 2.5917446294
430.0000000000 2.0220297730 2.7111801358 2.5885854701
431.0000000000 2.0167959583 2.6375529582 2.5971454274
432.0000000000 2.0179950956 2.7189772957 2.5778563718
433.0000000000 2.0215149444 2.6672126812 2.6050599469
434.0000000000 2.0161435941 2.6932702856 2.5929990808
435.0000000000 2.0128951396 2.6844979395 2.5883992977
436.0000000000 2.0061777183 2.6523540711 2.5841137602
437.0000000000 2.0252058641 2.6478988485 2.6088152021
438.0000000000 2.0112331670 2.7252905655 2.5933627568
439.0000000000 2.0185920958 2.6386831177 2.5850362515
440.0000000000 2.0143705904 2.6369184274 2.5838652969
441.0000000000 2.0083621243 2.6518252362 2.5972711899
442.0000000000 2.0188738241 2.6699204943 2.5823880376
443.0000000000 2.0002012850 2.7052949541 2.5757936067
444.0000000000 2.0206127656 2.6810196512 2.5917012333
445.0000000000 2.0080316432 2.6814935335 2.5873552236
446.0000000000 2.0490335550 2.6978673524 2.5798760866
447.0000000000 2.0092737582 2.6332354271 2.5962306673
448.0000000000 2.0477246875 2.6599702191 2.5776867998
449.0000000000 2.0351701678 2.6770920580 2.5907213868
450.0000000000 2.0140218835 2.6723559852 2.5973672593
451.0000000000 2.0382549458 2.6838196908 2.5857778093
452.0000000000 2.0394251378 2.6960161183 2.5875937785
453.0000000000 2.0044374216 2.6515391210 2.5990046521
454.0000000000 2.0233566128 2.6617071997 2.6029479941
455.0000000000 2.0050707972 2.6841934552 2.5956021548
456.0000000000 2.0127741626 2.6597571369 2.5960086056
457.0000000000 2.0138882045 2.6725915931 2.5940321624
458.0000000000 2.0288671892 2.6873653084 2.5922845176
459.0000000000 2.0533931206 2.7003447233 2.5926030950
460.0000000000 2.0172824315 2.6604025707 2.5940247838
461.0000000000 1.9908989856 2.6466640481 2.5975483915
462.0000000000 2.0210871638 2.7155196614 2.5882700589
463.0000000000 1.9952474160 2.6716723324 2.6001504807
464.0000000000 2.0272636366 2.6576091838 2.5953876478
465.0000000000 2.0227283213 2.7000183711 2.5955178209
466.0000000000 2.0329744490 2.6955062416 2.6068327146
467.0000000000 2.0310382459 2.6925221536 2.6022316932
468.0000000000 2.0498807785 2.6290478409 2.5828485044
469.0000000000 2.0402797410 2.6876978179 2.5974919538
470.0000000000 2.0297841130 2.6835070984 2.5951091458
471.0000000000 2.0025799898 2.6981973875 2.5771554191
472.0000000000 2.0159236983 2.7134467225 2.5954343010
473.0000000000 2.0262955686 2.6925017667 2.5863249596
474.0000000000 2.0187987579 2.6776317910 2.5796043230
475.0000000000 2.0268118464 2.7022917497 2.6013793639
476.0000000000 2.0300657729 2.6737892192 2.5895838137
477.0000000000 2.0466078606 2.7058786030 2.6096021904
478.0000000000 2.0155369755 2.6396341932 2.5800181882
479.0000000000 2.0177352193 2.7144557576 2.5927986819
480.0000000000 2.0167592214 2.6534498442 2.5973127029
481.0000000000 1.9927240061 2.6850060479 2.5787095347
482.0000000000 2.0233321117 2.6658170487 2.5860870982
483.0000000000 2.0184263396 2.6392329349 2.5773333827
484.0000000000 2.0358759490 2.6532939774 2.5890220621
485.0000000000 2.0386979275 2.6710932145 2.5905128077
486.0000000000 2.0059500282 2.6700620623 2.5849880974
487.0000000000 2.0072323404 2.7240041985 2.5975875458
488.0000000000 2.0300547235 2.7280142534 2.6114632177
489.0000000000 2.0326150302 2.6574325864 2.6094862784
490.0000000000 1.9990202385 2.6691913862 2.5917776030
491.0000000000 2.0309359652 2.6576559119 2.5928664106
492.0000000000 2.0189803537 2.6704327029 2.5838705109
493.0000000000 2.0351451129 2.6697258234 2.5869567486
494.0000000000 2.0360518877 2.6476695749 2.5888661509
495.0000000000 2.0348826169 2.6602387814 2.5795177131
496.0000000000 2.0442045988 2.6801239625 2.5906323573
497.0000000000 2.0415157607 2.6811247182 2.5898890195
498.0000000000 2.0335744779 2.7199042674 2.5791991531
